Indicator_short,Year,Mozambique,Sub-Saharan Africa,Difference,pct_change_moz,pct_change_ssa,Complete_case,Trend
Under5_Mortality,2006,118.2,118.1,0.10000000000000853,-5.439999999999998,-4.449838187702265,TRUE,Decreasing
Under5_Mortality,2007,110,113.3,-3.299999999999997,-6.937394247038919,-4.064352243861133,TRUE,Decreasing
Under5_Mortality,2008,103.7,108.7,-5,-5.727272727272725,-4.060017652250656,TRUE,Decreasing
Under5_Mortality,2017,70.9,84.2,-13.299999999999997,-31.629701060752165,-22.539098436062556,TRUE,Decreasing
Under5_Mortality,2018,69.5,79.8,-10.299999999999997,-1.9746121297602333,-5.225653206650838,TRUE,Decreasing
Under5_Mortality,2019,68.3,77.7,-9.400000000000006,-1.7266187050359754,-2.631578947368414,TRUE,Decreasing
Under5_Mortality,2020,67.3,74.7,-7.400000000000006,-1.4641288433382138,-3.861003861003861,TRUE,Decreasing
Under5_Mortality,2021,65.8,72.7,-6.900000000000006,-2.2288261515601784,-2.677376171352075,TRUE,Decreasing
Under5_Mortality,2022,64.3,72.8,-8.5,-2.2796352583586628,0.13755158184318336,TRUE,Decreasing
Under5_Mortality,2023,61.7,68.1,-6.3999999999999915,-4.043545878693615,-6.456043956043961,TRUE,Decreasing
Under5_Mortality,2024,NA,NA,NA,NA,NA,FALSE,Decreasing
Under5_Mortality,2025,NA,NA,NA,NA,NA,FALSE,Decreasing
Water,2000,23.4410418674047,45.2585492796877,-21.817507412283,NA,NA,TRUE,Increasing
Water,2001,24.4482966648571,46.0280255394291,-21.579728874572,4.296971112248263,1.7001787993384667,TRUE,Increasing
Water,2002,25.8920562991607,46.877948220536,-20.9858919213753,5.905358782638278,1.8465330005929217,TRUE,Increasing
Water,2003,27.3637062660651,47.7615997064172,-20.3978934403521,5.6837894599823855,1.8850046118146822,TRUE,Increasing
Water,2004,28.8635945459384,48.6565354172698,-19.7929408713314,5.481305292819107,1.8737557291917035,TRUE,Increasing
Water,2005,30.391019323665,49.6049583458534,-19.2139390221884,5.2918730385281565,1.9492200183389343,TRUE,Increasing
